"Date","Depth","Site","Plot","Year","Value"
2011-09-01,100,"IN_Randolph","SW",2011,0.339
2011-09-02,10,"IN_Randolph","SW",2011,0.23
2011-09-02,20,"IN_Randolph","SW",2011,0.302
2011-09-02,40,"IN_Randolph","SW",2011,0.279
2011-09-02,60,"IN_Randolph","SW",2011,0.275
2011-09-02,100,"IN_Randolph","SW",2011,0.328
2011-09-03,10,"IN_Randolph","SW",2011,0.229
2011-09-03,20,"IN_Randolph","SW",2011,0.301
2011-09-03,40,"IN_Randolph","SW",2011,0.278
2011-09-03,60,"IN_Randolph","SW",2011,0.273
2011-09-03,100,"IN_Randolph","SW",2011,0.32
2011-09-04,10,"IN_Randolph","SW",2011,0.227
2011-09-04,20,"IN_Randolph","SW",2011,0.299
2011-09-04,40,"IN_Randolph","SW",2011,0.278
2011-09-04,60,"IN_Randolph","SW",2011,0.272
2011-09-04,100,"IN_Randolph","SW",2011,0.314
2011-09-05,10,"IN_Randolph","SW",2011,0.219
2011-09-05,20,"IN_Randolph","SW",2011,0.293
2011-09-05,40,"IN_Randolph","SW",2011,0.275
2011-09-05,60,"IN_Randolph","SW",2011,0.271
2011-09-05,100,"IN_Randolph","SW",2011,0.31
2011-09-06,10,"IN_Randolph","SW",2011,0.215
2011-09-06,20,"IN_Randolph","SW",2011,0.288
2011-09-06,40,"IN_Randolph","SW",2011,0.272
2011-09-06,60,"IN_Randolph","SW",2011,0.269
2011-09-06,100,"IN_Randolph","SW",2011,0.305
2011-09-07,10,"IN_Randolph","SW",2011,0.214
2011-09-07,20,"IN_Randolph","SW",2011,0.286
2011-09-07,40,"IN_Randolph","SW",2011,0.269
2011-09-07,60,"IN_Randolph","SW",2011,0.267
2011-09-07,100,"IN_Randolph","SW",2011,0.302
2011-09-08,10,"IN_Randolph","SW",2011,0.224
2011-09-08,20,"IN_Randolph","SW",2011,0.286
2011-09-08,40,"IN_Randolph","SW",2011,0.268
2011-09-08,60,"IN_Randolph","SW",2011,0.266
2011-09-08,100,"IN_Randolph","SW",2011,0.303
2011-09-09,10,"IN_Randolph","SW",2011,0.236
2011-09-09,20,"IN_Randolph","SW",2011,0.288
2011-09-09,40,"IN_Randolph","SW",2011,0.267
2011-09-09,60,"IN_Randolph","SW",2011,0.265
2011-09-09,100,"IN_Randolph","SW",2011,0.301
2011-09-10,10,"IN_Randolph","SW",2011,0.238
2011-09-10,20,"IN_Randolph","SW",2011,0.289
2011-09-10,40,"IN_Randolph","SW",2011,0.267
2011-09-10,60,"IN_Randolph","SW",2011,0.264
2011-09-10,100,"IN_Randolph","SW",2011,0.299
2011-09-11,10,"IN_Randolph","SW",2011,0.239
2011-09-11,20,"IN_Randolph","SW",2011,0.29
2011-09-11,40,"IN_Randolph","SW",2011,0.268
2011-09-11,60,"IN_Randolph","SW",2011,0.264
2011-09-11,100,"IN_Randolph","SW",2011,0.295
2011-09-12,10,"IN_Randolph","SW",2011,0.236
2011-09-12,20,"IN_Randolph","SW",2011,0.291
2011-09-12,40,"IN_Randolph","SW",2011,0.268
2011-09-12,60,"IN_Randolph","SW",2011,0.263
2011-09-12,100,"IN_Randolph","SW",2011,0.291
2011-09-13,10,"IN_Randolph","SW",2011,0.234
2011-09-13,20,"IN_Randolph","SW",2011,0.291
2011-09-13,40,"IN_Randolph","SW",2011,0.269
2011-09-13,60,"IN_Randolph","SW",2011,0.263
2011-09-13,100,"IN_Randolph","SW",2011,0.286
2011-09-14,10,"IN_Randolph","SW",2011,0.227
2011-09-14,20,"IN_Randolph","SW",2011,0.29
2011-09-14,40,"IN_Randolph","SW",2011,0.269
2011-09-14,60,"IN_Randolph","SW",2011,0.262
2011-09-14,100,"IN_Randolph","SW",2011,0.283
2011-09-15,10,"IN_Randolph","SW",2011,0.226
2011-09-15,20,"IN_Randolph","SW",2011,0.285
2011-09-15,40,"IN_Randolph","SW",2011,0.267
2011-09-15,60,"IN_Randolph","SW",2011,0.262
2011-09-15,100,"IN_Randolph","SW",2011,0.281
2011-09-16,10,"IN_Randolph","SW",2011,0.223
2011-09-16,20,"IN_Randolph","SW",2011,0.281
2011-09-16,40,"IN_Randolph","SW",2011,0.264
2011-09-16,60,"IN_Randolph","SW",2011,0.26
2011-09-16,100,"IN_Randolph","SW",2011,0.278
2011-09-17,10,"IN_Randolph","SW",2011,0.224
2011-09-17,20,"IN_Randolph","SW",2011,0.282
2011-09-17,40,"IN_Randolph","SW",2011,0.262
2011-09-17,60,"IN_Randolph","SW",2011,0.258
2011-09-17,100,"IN_Randolph","SW",2011,0.275
2011-09-18,10,"IN_Randolph","SW",2011,0.223
2011-09-18,20,"IN_Randolph","SW",2011,0.282
2011-09-18,40,"IN_Randolph","SW",2011,0.262
2011-09-18,60,"IN_Randolph","SW",2011,0.258
2011-09-18,100,"IN_Randolph","SW",2011,0.272
2011-09-19,10,"IN_Randolph","SW",2011,0.282
2011-09-19,20,"IN_Randolph","SW",2011,0.321
2011-09-19,40,"IN_Randolph","SW",2011,0.313
2011-09-19,60,"IN_Randolph","SW",2011,0.298
2011-09-19,100,"IN_Randolph","SW",2011,0.278
2011-09-20,10,"IN_Randolph","SW",2011,0.293
2011-09-20,20,"IN_Randolph","SW",2011,0.328
2011-09-20,40,"IN_Randolph","SW",2011,0.333
2011-09-20,60,"IN_Randolph","SW",2011,0.309
2011-09-20,100,"IN_Randolph","SW",2011,0.281
2011-09-21,10,"IN_Randolph","SW",2011,0.286
2011-09-21,20,"IN_Randolph","SW",2011,0.323
2011-09-21,40,"IN_Randolph","SW",2011,0.329
2011-09-21,60,"IN_Randolph","SW",2011,0.301
2011-09-21,100,"IN_Randolph","SW",2011,0.28
2011-09-22,10,"IN_Randolph","SW",2011,0.275
2011-09-22,20,"IN_Randolph","SW",2011,0.315
2011-09-22,40,"IN_Randolph","SW",2011,0.323
2011-09-22,60,"IN_Randolph","SW",2011,0.295
2011-09-22,100,"IN_Randolph","SW",2011,0.279
2011-09-23,10,"IN_Randolph","SW",2011,0.296
2011-09-23,20,"IN_Randolph","SW",2011,0.328
2011-09-23,40,"IN_Randolph","SW",2011,0.338
2011-09-23,60,"IN_Randolph","SW",2011,0.311
2011-09-23,100,"IN_Randolph","SW",2011,0.28
2011-09-24,10,"IN_Randolph","SW",2011,0.278
2011-09-24,20,"IN_Randolph","SW",2011,0.321
2011-09-24,40,"IN_Randolph","SW",2011,0.333
2011-09-24,60,"IN_Randolph","SW",2011,0.31
2011-09-24,100,"IN_Randolph","SW",2011,0.28
2011-09-25,10,"IN_Randolph","SW",2011,0.286
2011-09-25,20,"IN_Randolph","SW",2011,0.322
2011-09-25,40,"IN_Randolph","SW",2011,0.334
2011-09-25,60,"IN_Randolph","SW",2011,0.308
2011-09-25,100,"IN_Randolph","SW",2011,0.279
2011-09-26,10,"IN_Randolph","SW",2011,0.292
2011-09-26,20,"IN_Randolph","SW",2011,0.339
2011-09-26,40,"IN_Randolph","SW",2011,0.361
2011-09-26,60,"IN_Randolph","SW",2011,0.329
2011-09-26,100,"IN_Randolph","SW",2011,0.369
2011-09-27,10,"IN_Randolph","SW",2011,0.28
2011-09-27,20,"IN_Randolph","SW",2011,0.331
2011-09-27,40,"IN_Randolph","SW",2011,0.342
2011-09-27,60,"IN_Randolph","SW",2011,0.32
2011-09-27,100,"IN_Randolph","SW",2011,0.365
2011-09-28,10,"IN_Randolph","SW",2011,0.278
2011-09-28,20,"IN_Randolph","SW",2011,0.329
2011-09-28,40,"IN_Randolph","SW",2011,0.34
2011-09-28,60,"IN_Randolph","SW",2011,0.318
2011-09-28,100,"IN_Randolph","SW",2011,0.357
2011-09-29,10,"IN_Randolph","SW",2011,0.283
2011-09-29,20,"IN_Randolph","SW",2011,0.33
2011-09-29,40,"IN_Randolph","SW",2011,0.345
2011-09-29,60,"IN_Randolph","SW",2011,0.321
2011-09-29,100,"IN_Randolph","SW",2011,0.355
